Confidence Level Distribution for AUDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 156 (0.43%)
40-50%: 1424 (3.95%)
50-60%: 7797 (21.65%)
60-70%: 10200 (28.32%)
70-80%: 10028 (27.84%)
80-90%: 6414 (17.81%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 176 (34.65%)
40-50%: 228 (44.88%)
50-60%: 104 (20.47%)
60-70%: 0 (0.00%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 13 (11.93%)
40-50%: 9 (8.26%)
50-60%: 20 (18.35%)
60-70%: 67 (61.47%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)
