Confidence Level Distribution for EURUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 81 (0.17%)
40-50%: 1868 (3.83%)
50-60%: 17216 (35.29%)
60-70%: 13184 (27.03%)
70-80%: 5959 (12.22%)
80-90%: 9418 (19.31%)
90-100%: 1056 (2.16%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 33 (84.62%)
40-50%: 6 (15.38%)
50-60%: 0 (0.00%)
60-70%: 0 (0.00%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 195 (54.17%)
40-50%: 147 (40.83%)
50-60%: 18 (5.00%)
60-70%: 0 (0.00%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)
