Confidence Level Distribution for GBPUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 4549 (10.51%)
40-50%: 8419 (19.45%)
50-60%: 6971 (16.10%)
60-70%: 11558 (26.70%)
70-80%: 4889 (11.29%)
80-90%: 6905 (15.95%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2430 (91.98%)
40-50%: 171 (6.47%)
50-60%: 41 (1.55%)
60-70%: 0 (0.00%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1553 (48.08%)
40-50%: 932 (28.85%)
50-60%: 632 (19.57%)
60-70%: 77 (2.38%)
70-80%: 36 (1.11%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)
