Confidence Level Distribution for NZDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1228 (3.09%)
40-50%: 18681 (46.99%)
50-60%: 7454 (18.75%)
60-70%: 5934 (14.93%)
70-80%: 4038 (10.16%)
80-90%: 2420 (6.09%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 86 (11.17%)
40-50%: 273 (35.45%)
50-60%: 181 (23.51%)
60-70%: 192 (24.94%)
70-80%: 38 (4.94%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 124 (19.81%)
40-50%: 46 (7.35%)
50-60%: 158 (25.24%)
60-70%: 188 (30.03%)
70-80%: 8 (1.28%)
80-90%: 102 (16.29%)
90-100%: 0 (0.00%)
