Confidence Level Distribution for USDJPY:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1402 (9.69%)
40-50%: 5250 (36.27%)
50-60%: 2868 (19.81%)
60-70%: 2449 (16.92%)
70-80%: 2083 (14.39%)
80-90%: 422 (2.92%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 828 (22.83%)
40-50%: 1486 (40.97%)
50-60%: 321 (8.85%)
60-70%: 15 (0.41%)
70-80%: 14 (0.39%)
80-90%: 203 (5.60%)
90-100%: 760 (20.95%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1033 (3.34%)
40-50%: 14114 (45.57%)
50-60%: 15645 (50.51%)
60-70%: 179 (0.58%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)
