Confidence Level Distribution for USDCHF:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 86 (0.18%)
40-50%: 4587 (9.80%)
50-60%: 14662 (31.32%)
60-70%: 10119 (21.61%)
70-80%: 3830 (8.18%)
80-90%: 6301 (13.46%)
90-100%: 7232 (15.45%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 30 (2.45%)
40-50%: 478 (39.02%)
50-60%: 162 (13.22%)
60-70%: 124 (10.12%)
70-80%: 209 (17.06%)
80-90%: 75 (6.12%)
90-100%: 147 (12.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 38 (3.27%)
40-50%: 293 (25.24%)
50-60%: 288 (24.81%)
60-70%: 122 (10.51%)
70-80%: 152 (13.09%)
80-90%: 233 (20.07%)
90-100%: 35 (3.01%)
