Local time,Ask,Bid,AskVolume,BidVolume
28.10.2024 00:00:00.090 GMT-0700,0.65967,0.65958,1799999.9523,1919999.9571
28.10.2024 00:00:00.193 GMT-0700,0.6597000000000001,0.65962,2700000.0477,1200000.0477
28.10.2024 00:00:01.164 GMT-0700,0.65969,0.65961,2700000.0477,1200000.0477
28.10.2024 00:00:01.267 GMT-0700,0.65968,0.65961,2700000.0477,1200000.0477
28.10.2024 00:00:01.778 GMT-0700,0.65969,0.65961,3599999.9046,1200000.0477
28.10.2024 00:00:01.933 GMT-0700,0.6597000000000001,0.65962,1200000.0477,1200000.0477
28.10.2024 00:00:02.035 GMT-0700,0.65972,0.65962,1799999.9523,1200000.0477
28.10.2024 00:00:02.137 GMT-0700,0.65971,0.65962,3599999.9046,1200000.0477
28.10.2024 00:00:02.945 GMT-0700,0.65971,0.6596000000000001,1200000.0477,1799999.9523
28.10.2024 00:00:03.099 GMT-0700,0.6597000000000001,0.65959,2700000.0477,1799999.9523
28.10.2024 00:00:03.202 GMT-0700,0.65967,0.65957,3599999.9046,1799999.9523
28.10.2024 00:00:03.253 GMT-0700,0.65967,0.65959,3599999.9046,1320000.0525
28.10.2024 00:00:04.675 GMT-0700,0.65966,0.65958,1200000.0477,1889999.9857
28.10.2024 00:00:06.353 GMT-0700,0.65967,0.65959,1799999.9523,1200000.0477
28.10.2024 00:00:10.490 GMT-0700,0.65968,0.6596000000000001,1200000.0477,1200000.0477
28.10.2024 00:00:11.252 GMT-0700,0.65969,0.65961,2700000.0477,1200000.0477
28.10.2024 00:00:12.367 GMT-0700,0.65968,0.6596000000000001,1200000.0477,1799999.9523
28.10.2024 00:00:13.085 GMT-0700,0.65967,0.65959,2700000.0477,1200000.0477
28.10.2024 00:00:15.674 GMT-0700,0.65966,0.65958,3599999.9046,1200000.0477
28.10.2024 00:00:15.878 GMT-0700,0.6596500000000001,0.65956,1200000.0477,1799999.9523
28.10.2024 00:00:18.054 GMT-0700,0.65966,0.65958,1799999.9523,1200000.0477
28.10.2024 00:00:18.866 GMT-0700,0.65967,0.65959,1799999.9523,1200000.0477
28.10.2024 00:00:20.135 GMT-0700,0.65968,0.6596000000000001,1799999.9523,1200000.0477
28.10.2024 00:00:21.500 GMT-0700,0.65967,0.65959,1200000.0477,1200000.0477
28.10.2024 00:00:21.806 GMT-0700,0.65966,0.65957,1200000.0477,1919999.9571
28.10.2024 00:00:21.908 GMT-0700,0.65966,0.65957,1200000.0477,1799999.9523
28.10.2024 00:00:23.380 GMT-0700,0.65966,0.65956,1200000.0477,1200000.0477
28.10.2024 00:00:23.889 GMT-0700,0.65966,0.65957,2700000.0477,1799999.9523
28.10.2024 00:00:24.497 GMT-0700,0.6596500000000001,0.65957,1200000.0477,1200000.0477
28.10.2024 00:00:26.877 GMT-0700,0.65964,0.6595500000000001,2700000.0477,1799999.9523
28.10.2024 00:00:26.979 GMT-0700,0.65963,0.6595500000000001,2700000.0477,1200000.0477
28.10.2024 00:00:30.363 GMT-0700,0.65963,0.65956,1200000.0477,1200000.0477
28.10.2024 00:00:30.414 GMT-0700,0.65966,0.65958,2700000.0477,1200000.0477
28.10.2024 00:00:31.433 GMT-0700,0.65967,0.65959,1200000.0477,1200000.0477
28.10.2024 00:00:31.587 GMT-0700,0.65968,0.6596000000000001,1200000.0477,1200000.0477
28.10.2024 00:00:38.294 GMT-0700,0.65969,0.65961,1200000.0477,1200000.0477
28.10.2024 00:00:38.499 GMT-0700,0.6597000000000001,0.65962,1200000.0477,1200000.0477
28.10.2024 00:00:40.371 GMT-0700,0.65972,0.65964,1200000.0477,1200000.0477
28.10.2024 00:00:40.474 GMT-0700,0.65973,0.65964,2700000.0477,1200000.0477
28.10.2024 00:00:41.238 GMT-0700,0.65973,0.6596500000000001,1200000.0477,1200000.0477
28.10.2024 00:00:49.211 GMT-0700,0.6597500000000001,0.65966,3599999.9046,1200000.0477
28.10.2024 00:00:49.314 GMT-0700,0.65976,0.65967,3599999.9046,1200000.0477
28.10.2024 00:00:50.325 GMT-0700,0.6597500000000001,0.65966,1200000.0477,1799999.9523
28.10.2024 00:00:50.377 GMT-0700,0.65973,0.65966,1200000.0477,1200000.0477
28.10.2024 00:00:50.479 GMT-0700,0.65973,0.6596500000000001,1200000.0477,1320000.0525
28.10.2024 00:00:50.582 GMT-0700,0.65971,0.65964,1200000.0477,1320000.0525
28.10.2024 00:00:50.684 GMT-0700,0.6597000000000001,0.65962,1200000.0477,1200000.0477
28.10.2024 00:00:50.838 GMT-0700,0.6597000000000001,0.65961,2700000.0477,1799999.9523
28.10.2024 00:00:53.444 GMT-0700,0.65971,0.65963,3599999.9046,1200000.0477
28.10.2024 00:00:53.596 GMT-0700,0.6597000000000001,0.65962,1200000.0477,1200000.0477
28.10.2024 00:00:58.341 GMT-0700,0.65971,0.65963,3599999.9046,1200000.0477
28.10.2024 00:01:04.919 GMT-0700,0.6597000000000001,0.65962,1200000.0477,1799999.9523
28.10.2024 00:01:14.725 GMT-0700,0.65969,0.65961,1200000.0477,1200000.0477
28.10.2024 00:01:14.827 GMT-0700,0.6597000000000001,0.65962,1200000.0477,1799999.9523
28.10.2024 00:01:14.930 GMT-0700,0.65971,0.65963,1200000.0477,1320000.0525
28.10.2024 00:01:16.352 GMT-0700,0.65971,0.65963,1200000.0477,1320000.0525
28.10.2024 00:01:16.454 GMT-0700,0.65971,0.65963,1200000.0477,1320000.0525
28.10.2024 00:01:21.100 GMT-0700,0.65974,0.65964,1799999.9523,1320000.0525
28.10.2024 00:01:26.190 GMT-0700,0.65974,0.65966,1200000.0477,1200000.0477
28.10.2024 00:01:26.292 GMT-0700,0.65974,0.65967,1200000.0477,1200000.0477
28.10.2024 00:01:30.133 GMT-0700,0.65973,0.6596500000000001,1200000.0477,1799999.9523
28.10.2024 00:01:35.032 GMT-0700,0.65973,0.65966,1200000.0477,1200000.0477
28.10.2024 00:01:35.843 GMT-0700,0.65973,0.6596500000000001,1200000.0477,1200000.0477
28.10.2024 00:01:36.098 GMT-0700,0.6597500000000001,0.65966,3599999.9046,1200000.0477
28.10.2024 00:01:36.556 GMT-0700,0.6597500000000001,0.6596500000000001,1200000.0477,1799999.9523
28.10.2024 00:01:46.777 GMT-0700,0.6597500000000001,0.65966,1799999.9523,1799999.9523
28.10.2024 00:01:47.535 GMT-0700,0.65976,0.65968,3599999.9046,1200000.0477
28.10.2024 00:01:49.156 GMT-0700,0.65977,0.65969,1799999.9523,1200000.0477
28.10.2024 00:01:49.362 GMT-0700,0.65977,0.6597000000000001,1200000.0477,1200000.0477
28.10.2024 00:01:51.078 GMT-0700,0.65977,0.65969,1200000.0477,1799999.9523
28.10.2024 00:01:51.180 GMT-0700,0.65977,0.6597000000000001,1200000.0477,1200000.0477
28.10.2024 00:01:52.291 GMT-0700,0.65977,0.65969,1200000.0477,1799999.9523
28.10.2024 00:01:53.051 GMT-0700,0.65978,0.6597000000000001,1200000.0477,1200000.0477
28.10.2024 00:01:53.154 GMT-0700,0.65977,0.65969,1200000.0477,1799999.9523
28.10.2024 00:01:56.082 GMT-0700,0.65976,0.65969,1200000.0477,1200000.0477
28.10.2024 00:01:56.185 GMT-0700,0.65976,0.65968,1200000.0477,1799999.9523
28.10.2024 00:01:57.963 GMT-0700,0.65978,0.6597000000000001,1799999.9523,1200000.0477
28.10.2024 00:01:58.067 GMT-0700,0.65979,0.6597000000000001,3599999.9046,1200000.0477
28.10.2024 00:02:00.238 GMT-0700,0.6598,0.6597000000000001,2700000.0477,1200000.0477
28.10.2024 00:02:00.340 GMT-0700,0.6598,0.65972,2700000.0477,1200000.0477
28.10.2024 00:02:01.657 GMT-0700,0.6598,0.65971,1200000.0477,1200000.0477
28.10.2024 00:02:01.911 GMT-0700,0.6598,0.65972,3599999.9046,1200000.0477
28.10.2024 00:02:05.099 GMT-0700,0.65979,0.65972,1200000.0477,1799999.9523
28.10.2024 00:02:05.302 GMT-0700,0.6598,0.65972,3599999.9046,1799999.9523
28.10.2024 00:02:07.787 GMT-0700,0.6598100000000001,0.65973,2700000.0477,1200000.0477
28.10.2024 00:02:08.397 GMT-0700,0.65982,0.65976,2700000.0477,1200000.0477
