Local time,Ask,Bid,AskVolume,BidVolume
28.10.2024 00:00:00.047 GMT-0700,0.59687,0.59677,1799999.9523,1200000.0477
28.10.2024 00:00:00.151 GMT-0700,0.59689,0.59682,1200000.0477,1200000.0477
28.10.2024 00:00:00.308 GMT-0700,0.5969,0.59682,1799999.9523,1200000.0477
28.10.2024 00:00:01.830 GMT-0700,0.59691,0.59682,1200000.0477,1200000.0477
28.10.2024 00:00:03.048 GMT-0700,0.5969,0.59682,1799999.9523,1200000.0477
28.10.2024 00:00:03.151 GMT-0700,0.59689,0.59679,1200000.0477,4500000
28.10.2024 00:00:03.253 GMT-0700,0.5968800000000001,0.59679,1200000.0477,1200000.0477
28.10.2024 00:00:03.660 GMT-0700,0.59689,0.59679,1200000.0477,1799999.9523
28.10.2024 00:00:04.620 GMT-0700,0.5968800000000001,0.59679,1200000.0477,1200000.0477
28.10.2024 00:00:04.824 GMT-0700,0.5968800000000001,0.5968,1200000.0477,1799999.9523
28.10.2024 00:00:05.936 GMT-0700,0.5968600000000001,0.59679,1200000.0477,1200000.0477
28.10.2024 00:00:06.140 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:00:07.050 GMT-0700,0.59689,0.59679,1799999.9523,1200000.0477
28.10.2024 00:00:09.967 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:00:11.277 GMT-0700,0.5969,0.5968,2700000.0477,1200000.0477
28.10.2024 00:00:11.634 GMT-0700,0.5969,0.5968100000000001,1200000.0477,1200000.0477
28.10.2024 00:00:12.394 GMT-0700,0.59689,0.5968100000000001,1799999.9523,1200000.0477
28.10.2024 00:00:12.496 GMT-0700,0.5968800000000001,0.59679,1200000.0477,1200000.0477
28.10.2024 00:00:12.598 GMT-0700,0.5968600000000001,0.5968,1200000.0477,1200000.0477
28.10.2024 00:00:12.717 GMT-0700,0.59687,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:00:12.823 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:00:12.928 GMT-0700,0.59687,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:00:13.034 GMT-0700,0.59687,0.5967600000000001,1799999.9523,1799999.9523
28.10.2024 00:00:15.359 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:00:15.663 GMT-0700,0.59687,0.59677,1200000.0477,1200000.0477
28.10.2024 00:00:16.526 GMT-0700,0.5968800000000001,0.5967800000000001,1799999.9523,1200000.0477
28.10.2024 00:00:18.853 GMT-0700,0.59689,0.59679,1799999.9523,1200000.0477
28.10.2024 00:00:21.483 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:00:22.397 GMT-0700,0.5968800000000001,0.59677,1799999.9523,1799999.9523
28.10.2024 00:00:22.651 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1799999.9523
28.10.2024 00:00:22.753 GMT-0700,0.59687,0.59677,1799999.9523,1200000.0477
28.10.2024 00:00:23.360 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1799999.9523
28.10.2024 00:00:23.866 GMT-0700,0.5968600000000001,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:00:25.686 GMT-0700,0.59684,0.59677,1200000.0477,1200000.0477
28.10.2024 00:00:25.789 GMT-0700,0.59684,0.5967399999999999,1200000.0477,1200000.0477
28.10.2024 00:00:25.891 GMT-0700,0.59685,0.59675,1799999.9523,1200000.0477
28.10.2024 00:00:26.859 GMT-0700,0.59684,0.5967399999999999,1200000.0477,1200000.0477
28.10.2024 00:00:30.303 GMT-0700,0.59684,0.5967600000000001,1799999.9523,1200000.0477
28.10.2024 00:00:30.766 GMT-0700,0.59685,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:00:31.071 GMT-0700,0.59685,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:00:31.173 GMT-0700,0.59687,0.59677,1200000.0477,1200000.0477
28.10.2024 00:00:33.350 GMT-0700,0.5968800000000001,0.59677,1799999.9523,1799999.9523
28.10.2024 00:00:38.043 GMT-0700,0.5968800000000001,0.59679,1200000.0477,1200000.0477
28.10.2024 00:00:38.145 GMT-0700,0.59689,0.59679,1799999.9523,1200000.0477
28.10.2024 00:00:38.247 GMT-0700,0.59689,0.5968,1200000.0477,1200000.0477
28.10.2024 00:00:38.349 GMT-0700,0.5969,0.5968,1799999.9523,1200000.0477
28.10.2024 00:00:38.503 GMT-0700,0.5969,0.5968100000000001,1200000.0477,1200000.0477
28.10.2024 00:00:38.858 GMT-0700,0.59691,0.5968100000000001,1799999.9523,1200000.0477
28.10.2024 00:00:40.374 GMT-0700,0.59691,0.59682,1200000.0477,1200000.0477
28.10.2024 00:00:41.291 GMT-0700,0.59692,0.5968300000000001,1200000.0477,1200000.0477
28.10.2024 00:00:41.393 GMT-0700,0.59692,0.59682,1200000.0477,1799999.9523
28.10.2024 00:00:49.222 GMT-0700,0.5969300000000001,0.5968300000000001,1799999.9523,1200000.0477
28.10.2024 00:00:50.336 GMT-0700,0.59691,0.59682,1200000.0477,1200000.0477
28.10.2024 00:00:50.388 GMT-0700,0.5969,0.5968,1200000.0477,1200000.0477
28.10.2024 00:00:50.490 GMT-0700,0.59687,0.59679,1200000.0477,1350000.0238
28.10.2024 00:00:50.593 GMT-0700,0.59685,0.59675,1200000.0477,1799999.9523
28.10.2024 00:00:51.129 GMT-0700,0.5968300000000001,0.59675,1200000.0477,1200000.0477
28.10.2024 00:00:51.180 GMT-0700,0.5968300000000001,0.5967300000000001,1200000.0477,1799999.9523
28.10.2024 00:00:51.283 GMT-0700,0.59682,0.5967300000000001,1200000.0477,1200000.0477
28.10.2024 00:00:51.385 GMT-0700,0.59684,0.5967300000000001,1799999.9523,1799999.9523
28.10.2024 00:00:51.537 GMT-0700,0.5968100000000001,0.5967399999999999,1200000.0477,1200000.0477
28.10.2024 00:00:51.740 GMT-0700,0.59682,0.5967399999999999,1200000.0477,1799999.9523
28.10.2024 00:01:00.311 GMT-0700,0.59685,0.59675,1799999.9523,1200000.0477
28.10.2024 00:01:03.201 GMT-0700,0.59684,0.5967399999999999,1200000.0477,1799999.9523
28.10.2024 00:01:03.859 GMT-0700,0.59685,0.59675,1200000.0477,1200000.0477
28.10.2024 00:01:04.871 GMT-0700,0.59684,0.5967399999999999,1200000.0477,1799999.9523
28.10.2024 00:01:14.666 GMT-0700,0.5968,0.5967300000000001,1200000.0477,1200000.0477
28.10.2024 00:01:14.769 GMT-0700,0.5968100000000001,0.5967100000000001,1799999.9523,1200000.0477
28.10.2024 00:01:17.607 GMT-0700,0.5968100000000001,0.59672,1200000.0477,1200000.0477
28.10.2024 00:01:18.165 GMT-0700,0.5968100000000001,0.5967100000000001,1799999.9523,1200000.0477
28.10.2024 00:01:18.267 GMT-0700,0.5968100000000001,0.59672,1200000.0477,1200000.0477
28.10.2024 00:01:21.088 GMT-0700,0.5968100000000001,0.5967300000000001,1799999.9523,1200000.0477
28.10.2024 00:01:21.190 GMT-0700,0.5968300000000001,0.5967300000000001,1200000.0477,1799999.9523
28.10.2024 00:01:25.075 GMT-0700,0.59684,0.5967399999999999,1799999.9523,1200000.0477
28.10.2024 00:01:29.407 GMT-0700,0.59685,0.59675,1200000.0477,1200000.0477
28.10.2024 00:01:29.509 GMT-0700,0.5968600000000001,0.59675,1799999.9523,1799999.9523
28.10.2024 00:01:30.115 GMT-0700,0.59685,0.59675,1200000.0477,1200000.0477
28.10.2024 00:01:30.368 GMT-0700,0.5968600000000001,0.59675,1799999.9523,1799999.9523
28.10.2024 00:01:35.842 GMT-0700,0.59684,0.59675,1200000.0477,1200000.0477
28.10.2024 00:01:36.096 GMT-0700,0.59685,0.59675,1200000.0477,1799999.9523
28.10.2024 00:01:46.260 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:01:49.190 GMT-0700,0.5968600000000001,0.59677,1200000.0477,1200000.0477
28.10.2024 00:01:49.292 GMT-0700,0.59687,0.59677,1200000.0477,1200000.0477
28.10.2024 00:01:52.266 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1799999.9523
28.10.2024 00:01:53.128 GMT-0700,0.59685,0.59675,1200000.0477,1799999.9523
28.10.2024 00:01:57.970 GMT-0700,0.5968600000000001,0.5967600000000001,1799999.9523,1200000.0477
28.10.2024 00:02:00.192 GMT-0700,0.59687,0.59677,1200000.0477,1799999.9523
28.10.2024 00:02:00.294 GMT-0700,0.5968800000000001,0.5967800000000001,1799999.9523,1200000.0477
28.10.2024 00:02:01.411 GMT-0700,0.59689,0.59679,1200000.0477,1200000.0477
28.10.2024 00:02:01.513 GMT-0700,0.5969,0.5968,1200000.0477,1200000.0477
28.10.2024 00:02:01.665 GMT-0700,0.59691,0.5968,6750000,1799999.9523
28.10.2024 00:02:07.652 GMT-0700,0.59691,0.59682,1200000.0477,1200000.0477
28.10.2024 00:02:07.754 GMT-0700,0.5969300000000001,0.5968300000000001,1200000.0477,1799999.9523
28.10.2024 00:02:08.212 GMT-0700,0.5969300000000001,0.59682,1799999.9523,1799999.9523
28.10.2024 00:02:08.416 GMT-0700,0.5969300000000001,0.59685,1200000.0477,1200000.0477
28.10.2024 00:02:08.519 GMT-0700,0.59696,0.5968600000000001,1799999.9523,1200000.0477
28.10.2024 00:02:10.035 GMT-0700,0.59694,0.5968600000000001,1200000.0477,1200000.0477
28.10.2024 00:02:11.196 GMT-0700,0.59696,0.59685,1799999.9523,1799999.9523
28.10.2024 00:02:18.104 GMT-0700,0.59694,0.5968600000000001,1200000.0477,1200000.0477
28.10.2024 00:02:19.616 GMT-0700,0.59696,0.5968600000000001,1799999.9523,1200000.0477
28.10.2024 00:02:21.679 GMT-0700,0.59696,0.59689,1200000.0477,1200000.0477
28.10.2024 00:02:21.786 GMT-0700,0.59699,0.5969,1200000.0477,1200000.0477
28.10.2024 00:02:22.446 GMT-0700,0.597,0.5969,1200000.0477,1799999.9523
28.10.2024 00:02:22.650 GMT-0700,0.597,0.59692,1799999.9523,1200000.0477
28.10.2024 00:02:23.663 GMT-0700,0.59699,0.59691,1200000.0477,1799999.9523
28.10.2024 00:02:35.522 GMT-0700,0.59699,0.5969,1200000.0477,1200000.0477
28.10.2024 00:02:35.574 GMT-0700,0.59697,0.59687,1200000.0477,1799999.9523
28.10.2024 00:02:35.676 GMT-0700,0.59696,0.59687,1200000.0477,1200000.0477
28.10.2024 00:02:35.981 GMT-0700,0.59697,0.59687,1200000.0477,1799999.9523
28.10.2024 00:02:41.173 GMT-0700,0.59695,0.59685,1200000.0477,1799999.9523
28.10.2024 00:02:46.064 GMT-0700,0.59694,0.59685,1200000.0477,1200000.0477
28.10.2024 00:02:46.180 GMT-0700,0.59694,0.59684,1200000.0477,1799999.9523
28.10.2024 00:02:50.876 GMT-0700,0.5969300000000001,0.59684,1200000.0477,1200000.0477
28.10.2024 00:02:51.382 GMT-0700,0.59691,0.5968300000000001,1200000.0477,1799999.9523
28.10.2024 00:02:53.351 GMT-0700,0.5969300000000001,0.5968300000000001,1200000.0477,1200000.0477
28.10.2024 00:02:58.033 GMT-0700,0.5969,0.5968300000000001,1200000.0477,1200000.0477
28.10.2024 00:02:58.135 GMT-0700,0.5969,0.5968,1200000.0477,1799999.9523
28.10.2024 00:02:59.145 GMT-0700,0.59689,0.5968,1200000.0477,1200000.0477
28.10.2024 00:03:00.258 GMT-0700,0.59689,0.5968100000000001,1200000.0477,1799999.9523
28.10.2024 00:03:10.696 GMT-0700,0.59691,0.5968100000000001,1799999.9523,1200000.0477
28.10.2024 00:03:11.324 GMT-0700,0.59689,0.59679,1200000.0477,1799999.9523
28.10.2024 00:03:13.086 GMT-0700,0.5969,0.5968,1200000.0477,1200000.0477
28.10.2024 00:03:14.197 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:03:15.056 GMT-0700,0.59689,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:03:16.972 GMT-0700,0.59687,0.5967600000000001,1200000.0477,3150000.0954
28.10.2024 00:03:21.815 GMT-0700,0.5968600000000001,0.59675,1200000.0477,3150000.0954
28.10.2024 00:03:25.338 GMT-0700,0.59687,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:03:28.557 GMT-0700,0.59687,0.59677,1200000.0477,1200000.0477
28.10.2024 00:03:28.660 GMT-0700,0.59689,0.5968,1200000.0477,1799999.9523
28.10.2024 00:03:29.218 GMT-0700,0.59687,0.59679,1200000.0477,1200000.0477
28.10.2024 00:03:43.060 GMT-0700,0.5968800000000001,0.5968,1799999.9523,1200000.0477
28.10.2024 00:03:44.171 GMT-0700,0.59689,0.5968,1200000.0477,1200000.0477
28.10.2024 00:03:44.274 GMT-0700,0.59689,0.59682,1200000.0477,1200000.0477
28.10.2024 00:03:44.630 GMT-0700,0.59691,0.5968100000000001,1799999.9523,1200000.0477
28.10.2024 00:03:45.491 GMT-0700,0.5969,0.5968,1200000.0477,1799999.9523
28.10.2024 00:03:47.864 GMT-0700,0.59687,0.59679,1200000.0477,1200000.0477
28.10.2024 00:03:47.966 GMT-0700,0.59687,0.59677,1200000.0477,1799999.9523
28.10.2024 00:03:48.069 GMT-0700,0.5968600000000001,0.59677,1200000.0477,1200000.0477
28.10.2024 00:03:48.321 GMT-0700,0.5968800000000001,0.5967800000000001,1799999.9523,1200000.0477
28.10.2024 00:03:55.666 GMT-0700,0.59687,0.5967600000000001,1799999.9523,4500000
28.10.2024 00:03:58.393 GMT-0700,0.59687,0.59677,1200000.0477,1200000.0477
28.10.2024 00:03:58.899 GMT-0700,0.59687,0.59679,1200000.0477,1200000.0477
28.10.2024 00:04:00.314 GMT-0700,0.5969,0.5968,2700000.0477,1200000.0477
28.10.2024 00:04:00.519 GMT-0700,0.59691,0.59682,1200000.0477,1200000.0477
28.10.2024 00:04:00.621 GMT-0700,0.59692,0.59682,1799999.9523,1200000.0477
28.10.2024 00:04:02.001 GMT-0700,0.5969300000000001,0.5968300000000001,1799999.9523,1200000.0477
28.10.2024 00:04:02.108 GMT-0700,0.59692,0.59682,1200000.0477,1799999.9523
28.10.2024 00:04:04.278 GMT-0700,0.5969300000000001,0.5968300000000001,1799999.9523,1200000.0477
28.10.2024 00:04:08.306 GMT-0700,0.59694,0.59684,1799999.9523,1200000.0477
28.10.2024 00:04:08.408 GMT-0700,0.59695,0.59685,1799999.9523,1200000.0477
28.10.2024 00:04:09.221 GMT-0700,0.5969300000000001,0.59684,1200000.0477,1200000.0477
28.10.2024 00:04:09.323 GMT-0700,0.59692,0.59684,1799999.9523,1200000.0477
28.10.2024 00:04:19.542 GMT-0700,0.59689,0.5968300000000001,1200000.0477,1200000.0477
28.10.2024 00:04:19.646 GMT-0700,0.59691,0.5968100000000001,1799999.9523,1200000.0477
28.10.2024 00:04:19.749 GMT-0700,0.59692,0.5968300000000001,1200000.0477,1200000.0477
28.10.2024 00:04:25.891 GMT-0700,0.59691,0.5968300000000001,1799999.9523,1200000.0477
28.10.2024 00:04:25.994 GMT-0700,0.59691,0.59682,1200000.0477,1200000.0477
28.10.2024 00:04:26.096 GMT-0700,0.59689,0.5968100000000001,1200000.0477,1799999.9523
28.10.2024 00:04:29.719 GMT-0700,0.59692,0.59682,1799999.9523,1200000.0477
28.10.2024 00:04:29.821 GMT-0700,0.59692,0.5968300000000001,1200000.0477,1200000.0477
28.10.2024 00:04:30.227 GMT-0700,0.5969300000000001,0.5968300000000001,1200000.0477,1200000.0477
28.10.2024 00:04:31.235 GMT-0700,0.59694,0.59684,1200000.0477,1200000.0477
28.10.2024 00:04:31.337 GMT-0700,0.59695,0.59684,1799999.9523,1799999.9523
28.10.2024 00:04:34.660 GMT-0700,0.59689,0.59684,1200000.0477,1350000.0238
28.10.2024 00:04:34.762 GMT-0700,0.5969,0.59682,1799999.9523,1200000.0477
28.10.2024 00:04:36.173 GMT-0700,0.59691,0.59682,1200000.0477,1200000.0477
28.10.2024 00:04:36.627 GMT-0700,0.59692,0.59682,1799999.9523,1200000.0477
28.10.2024 00:04:42.462 GMT-0700,0.59691,0.5968100000000001,1200000.0477,1799999.9523
28.10.2024 00:04:42.565 GMT-0700,0.59692,0.59682,1799999.9523,1200000.0477
28.10.2024 00:04:44.731 GMT-0700,0.59691,0.5968100000000001,1200000.0477,1799999.9523
28.10.2024 00:04:48.159 GMT-0700,0.5969,0.5968,1200000.0477,1799999.9523
28.10.2024 00:04:51.178 GMT-0700,0.59689,0.5968,1200000.0477,1200000.0477
28.10.2024 00:04:51.281 GMT-0700,0.59689,0.59679,1799999.9523,1200000.0477
28.10.2024 00:04:56.345 GMT-0700,0.5968600000000001,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:04:56.397 GMT-0700,0.59685,0.59677,1799999.9523,1200000.0477
28.10.2024 00:04:56.499 GMT-0700,0.5968600000000001,0.59677,1200000.0477,1200000.0477
28.10.2024 00:04:56.652 GMT-0700,0.59687,0.59677,1799999.9523,1200000.0477
28.10.2024 00:04:57.056 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1799999.9523
28.10.2024 00:04:58.119 GMT-0700,0.59687,0.59679,1200000.0477,1200000.0477
28.10.2024 00:04:58.221 GMT-0700,0.59689,0.59679,1200000.0477,1200000.0477
28.10.2024 00:05:02.550 GMT-0700,0.5969,0.59679,2700000.0477,1799999.9523
28.10.2024 00:05:02.703 GMT-0700,0.59689,0.59679,1200000.0477,1200000.0477
28.10.2024 00:05:11.059 GMT-0700,0.5968600000000001,0.59677,1200000.0477,1200000.0477
28.10.2024 00:05:11.163 GMT-0700,0.5968600000000001,0.5967600000000001,1799999.9523,1200000.0477
28.10.2024 00:05:11.718 GMT-0700,0.59687,0.59677,1799999.9523,1200000.0477
28.10.2024 00:05:12.176 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:05:12.278 GMT-0700,0.59687,0.59677,1799999.9523,1200000.0477
28.10.2024 00:05:14.852 GMT-0700,0.59687,0.59679,1799999.9523,1200000.0477
28.10.2024 00:05:17.370 GMT-0700,0.5968800000000001,0.5968,1799999.9523,1200000.0477
28.10.2024 00:05:18.030 GMT-0700,0.5968800000000001,0.59679,1200000.0477,1200000.0477
28.10.2024 00:05:18.183 GMT-0700,0.59689,0.59679,1799999.9523,1200000.0477
28.10.2024 00:05:19.998 GMT-0700,0.59687,0.59679,1200000.0477,1799999.9523
28.10.2024 00:05:21.746 GMT-0700,0.59687,0.59677,1200000.0477,1200000.0477
28.10.2024 00:05:21.850 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:05:24.680 GMT-0700,0.59684,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:05:29.781 GMT-0700,0.59682,0.5967399999999999,1200000.0477,1200000.0477
28.10.2024 00:05:31.603 GMT-0700,0.59685,0.59675,1200000.0477,1200000.0477
28.10.2024 00:05:32.009 GMT-0700,0.5968600000000001,0.59675,1799999.9523,1799999.9523
28.10.2024 00:05:32.465 GMT-0700,0.5968600000000001,0.59677,1200000.0477,1200000.0477
28.10.2024 00:05:33.276 GMT-0700,0.59687,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:05:33.380 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:05:41.494 GMT-0700,0.59687,0.59677,1799999.9523,1200000.0477
28.10.2024 00:05:41.598 GMT-0700,0.5968600000000001,0.59677,1200000.0477,1200000.0477
28.10.2024 00:05:43.279 GMT-0700,0.59685,0.59675,1200000.0477,1799999.9523
28.10.2024 00:05:44.361 GMT-0700,0.59684,0.5967399999999999,1200000.0477,1799999.9523
28.10.2024 00:05:49.813 GMT-0700,0.5968300000000001,0.5967300000000001,1200000.0477,1799999.9523
28.10.2024 00:05:55.155 GMT-0700,0.59684,0.5967300000000001,1200000.0477,1200000.0477
28.10.2024 00:05:58.231 GMT-0700,0.59685,0.5967399999999999,1799999.9523,1200000.0477
28.10.2024 00:05:58.333 GMT-0700,0.59684,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:05:58.537 GMT-0700,0.5968600000000001,0.59675,1200000.0477,1799999.9523
28.10.2024 00:05:58.638 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:06:00.406 GMT-0700,0.59687,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:06:00.508 GMT-0700,0.5968800000000001,0.59679,1799999.9523,1799999.9523
28.10.2024 00:06:00.913 GMT-0700,0.5968800000000001,0.5968100000000001,1200000.0477,1200000.0477
28.10.2024 00:06:01.015 GMT-0700,0.5969,0.5968,1799999.9523,1200000.0477
28.10.2024 00:06:09.550 GMT-0700,0.5968800000000001,0.5968,1200000.0477,1200000.0477
28.10.2024 00:06:09.652 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:06:10.010 GMT-0700,0.5968800000000001,0.59677,1200000.0477,1799999.9523
28.10.2024 00:06:11.977 GMT-0700,0.59687,0.5967600000000001,1200000.0477,1799999.9523
28.10.2024 00:06:12.633 GMT-0700,0.59687,0.59677,1200000.0477,1200000.0477
28.10.2024 00:06:12.938 GMT-0700,0.59687,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:06:13.394 GMT-0700,0.59689,0.59679,1200000.0477,1799999.9523
28.10.2024 00:06:23.727 GMT-0700,0.59687,0.5968,1200000.0477,1200000.0477
28.10.2024 00:06:23.829 GMT-0700,0.5968800000000001,0.5967800000000001,1200000.0477,1799999.9523
28.10.2024 00:06:41.356 GMT-0700,0.59685,0.5967800000000001,1200000.0477,1200000.0477
28.10.2024 00:06:41.459 GMT-0700,0.59684,0.59675,1200000.0477,1200000.0477
28.10.2024 00:06:43.323 GMT-0700,0.5968600000000001,0.5967600000000001,1200000.0477,1200000.0477
28.10.2024 00:06:45.342 GMT-0700,0.5968600000000001,0.5967800000000001,1799999.9523,1200000.0477
28.10.2024 00:06:45.394 GMT-0700,0.59689,0.5968100000000001,1200000.0477,1200000.0477
28.10.2024 00:06:45.445 GMT-0700,0.59691,0.5968100000000001,1200000.0477,1799999.9523
28.10.2024 00:06:54.119 GMT-0700,0.59694,0.59685,1200000.0477,1200000.0477
28.10.2024 00:06:54.222 GMT-0700,0.59696,0.5968600000000001,1200000.0477,1200000.0477
28.10.2024 00:06:54.326 GMT-0700,0.59695,0.59685,1200000.0477,1799999.9523
28.10.2024 00:06:54.428 GMT-0700,0.5969300000000001,0.5968600000000001,1200000.0477,1200000.0477
28.10.2024 00:06:57.006 GMT-0700,0.59695,0.59685,1200000.0477,1799999.9523
28.10.2024 00:07:01.288 GMT-0700,0.59695,0.5968600000000001,1200000.0477,1200000.0477
28.10.2024 00:07:01.592 GMT-0700,0.59697,0.59687,1799999.9523,1200000.0477
28.10.2024 00:07:01.695 GMT-0700,0.59697,0.59689,1200000.0477,1200000.0477
28.10.2024 00:07:01.899 GMT-0700,0.59697,0.5968600000000001,1200000.0477,1799999.9523
28.10.2024 00:07:02.001 GMT-0700,0.5969800000000001,0.59689,1200000.0477,1200000.0477
28.10.2024 00:07:09.793 GMT-0700,0.59696,0.5968800000000001,1200000.0477,1200000.0477
28.10.2024 00:07:09.894 GMT-0700,0.59695,0.59687,1200000.0477,1799999.9523
28.10.2024 00:07:10.097 GMT-0700,0.59697,0.59689,1799999.9523,1200000.0477
28.10.2024 00:07:12.216 GMT-0700,0.59696,0.5968800000000001,1200000.0477,1200000.0477
28.10.2024 00:07:12.318 GMT-0700,0.59696,0.59687,1200000.0477,1200000.0477
28.10.2024 00:07:13.580 GMT-0700,0.59695,0.59687,1200000.0477,1200000.0477
28.10.2024 00:07:14.343 GMT-0700,0.59696,0.59687,1200000.0477,1200000.0477
28.10.2024 00:07:16.557 GMT-0700,0.59697,0.5968800000000001,1200000.0477,1200000.0477
28.10.2024 00:07:17.668 GMT-0700,0.59696,0.5968600000000001,1200000.0477,1799999.9523
28.10.2024 00:07:21.299 GMT-0700,0.59695,0.5968800000000001,1200000.0477,1200000.0477
28.10.2024 00:07:21.956 GMT-0700,0.59696,0.5968600000000001,1200000.0477,1799999.9523
28.10.2024 00:07:32.937 GMT-0700,0.59697,0.59687,1200000.0477,1799999.9523
28.10.2024 00:07:39.044 GMT-0700,0.59697,0.5968800000000001,1200000.0477,1200000.0477
28.10.2024 00:07:46.454 GMT-0700,0.59695,0.5968800000000001,1200000.0477,1200000.0477
28.10.2024 00:07:46.556 GMT-0700,0.59696,0.5968600000000001,1200000.0477,1799999.9523
28.10.2024 00:07:48.273 GMT-0700,0.59697,0.59687,1200000.0477,1200000.0477
