Trading simulation for AUDUSD:
  Short position opened at 1.53148, closed at 1.53299, profit: -0.50, balance: 9999.50
  Short position opened at 1.57037, closed at 1.57106, profit: -0.44, balance: 9999.06
  Short position opened at 1.57060, closed at 1.57164, profit: -0.50, balance: 9998.56
  Short position opened at 1.57164, closed at 1.57211, profit: -0.29, balance: 9998.26
  Short position opened at 1.57211, closed at 1.57292, profit: -0.50, balance: 9997.76
  Short position opened at 1.57222, closed at 1.57350, profit: -0.50, balance: 9997.26
  Short position opened at 1.57280, closed at 1.57361, profit: -0.50, balance: 9996.76
  Short position opened at 1.57361, closed at 1.57454, profit: -0.50, balance: 9996.26
  Short position opened at 1.57454, closed at 1.57500, profit: -0.29, balance: 9995.97
  Short position opened at 1.57477, closed at 1.57512, profit: -0.22, balance: 9995.75
  Short position opened at 1.57488, closed at 1.57523, profit: -0.22, balance: 9995.53
  Short position opened at 1.57535, closed at 1.57604, profit: -0.44, balance: 9995.09
  Short position opened at 1.57569, closed at 1.57604, profit: -0.22, balance: 9994.87
  Short position opened at 1.57593, closed at 1.57604, profit: -0.07, balance: 9994.79
  Short position opened at 1.57593, closed at 1.57639, profit: -0.29, balance: 9994.50
  Short position opened at 1.57604, closed at 1.57639, profit: -0.22, balance: 9994.28
  Short position opened at 1.57604, closed at 1.57662, profit: -0.37, balance: 9993.91
  Short position opened at 1.57604, closed at 1.57662, profit: -0.37, balance: 9993.54
  Short position opened at 1.57639, closed at 1.57697, profit: -0.37, balance: 9993.18
  Short position opened at 1.57639, closed at 1.57708, profit: -0.44, balance: 9992.74
  Short position opened at 1.57662, closed at 1.57708, profit: -0.29, balance: 9992.44
  Short position opened at 1.57685, closed at 1.57731, profit: -0.29, balance: 9992.15
  Short position opened at 1.57697, closed at 1.57731, profit: -0.22, balance: 9991.93
  Short position opened at 1.57708, closed at 1.57743, profit: -0.22, balance: 9991.71
  Short position opened at 1.57708, closed at 1.57743, profit: -0.22, balance: 9991.49
  Short position opened at 1.57731, closed at 1.57743, profit: -0.07, balance: 9991.42
  Short position opened at 1.57731, closed at 1.57755, profit: -0.15, balance: 9991.27
  Short position opened at 1.57731, closed at 1.57755, profit: -0.15, balance: 9991.12
  Short position opened at 1.57743, closed at 1.57755, profit: -0.07, balance: 9991.05
  Short position opened at 1.57743, closed at 1.57755, profit: -0.07, balance: 9990.98
  Short position opened at 1.57743, closed at 1.57778, profit: -0.22, balance: 9990.76
  Short position opened at 1.57755, closed at 1.57778, profit: -0.15, balance: 9990.61
  Short position opened at 1.57755, closed at 1.57801, profit: -0.29, balance: 9990.32
  Short position opened at 1.57755, closed at 1.57801, profit: -0.29, balance: 9990.02
  Short position opened at 1.57755, closed at 1.57801, profit: -0.29, balance: 9989.73
  Short position opened at 1.57778, closed at 1.57801, profit: -0.15, balance: 9989.58
  Short position opened at 1.57801, closed at 1.57812, profit: -0.07, balance: 9989.51
  Short position opened at 1.57801, closed at 1.57836, profit: -0.22, balance: 9989.29
  Short position opened at 1.57801, closed at 1.57836, profit: -0.22, balance: 9989.07
  Short position opened at 1.57801, closed at 1.57836, profit: -0.22, balance: 9988.85
